title,painter,creation_date,author_gender,author_country,location_name,location_country,time_period,image_path,image_url
title,Jean-Antoine Laurent,1795.0,male,France,Metropolitan Museum of Art,United States of America,,img/img_512/Portrait of a Young Woman MET DP327722.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20Young%20Woman%20MET%20DP327722.jpg
title,Carl Friedrich Thienpondt,1760.0,male,Germany,Metropolitan Museum of Art,United States of America,,img/img_512/Diana MET 57111.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Diana%20MET%2057111.jpg
title,Vincent,1790.0,male,,Metropolitan Museum of Art,United States of America,,img/img_512/Madame Ingouf MET ep15.43.298.R.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Madame%20Ingouf%20MET%20ep15.43.298.R.jpg
title,Christian Friedrich Zincke,1735.0,male,,Metropolitan Museum of Art,United States of America,,img/img_512/Portrait of a Young Man MET DT200585.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20Young%20Man%20MET%20DT200585.jpg
title,Jean Saillant,,male,France,Metropolitan Museum of Art,United States of America,,img/img_512/Portrait of a Man MET ep59.72.2.R.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20Man%20MET%20ep59.72.2.R.jpg
title,Pierre-Auguste Renoir,1881.0,male,France,Metropolitan Museum of Art,United States of America,,img/img_512/Still Life with Peaches MET DT1140.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Still%20Life%20with%20Peaches%20MET%20DT1140.jpg
title,Paul Klee,1938.0,male,Switzerland,Metropolitan Museum of Art,United States of America,,img/img_512/Comedians' Handbill MET DP-828-001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Comedians%27%20Handbill%20MET%20DP-828-001.jpg
title,Marsden Hartley,1935.0,male,United States of America,Metropolitan Museum of Art,United States of America,,img/img_512/Banquet in Silence MET DP236121.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Banquet%20in%20Silence%20MET%20DP236121.jpg
title,Henri Fantin-Latour,1868.0,male,France,Metropolitan Museum of Art,United States of America,,img/img_512/Henri Fantin-Latour - Asters and Fruit on a Table MET DT9199.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Fantin-Latour%20-%20Asters%20and%20Fruit%20on%20a%20Table%20MET%20DT9199.jpg
title,Pieter van Overschie,,male,,Metropolitan Museum of Art,United States of America,,img/img_512/Pieter van Overschie - Still life of fruit and game.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20van%20Overschie%20-%20Still%20life%20of%20fruit%20and%20game.jpg
title,Félix Vallotton,1903.0,male,Switzerland,Hermitage Museum,Russia,,"img/img_512/Vallotton, Felix - Landscape. Arques-la-Bataille.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Vallotton%2C%20Felix%20-%20Landscape.%20Arques-la-Bataille.jpg
